Keyword,Timespan,Usage Rating
Supernatural,1870-1910,3
Periscope,1916-1964,2
Zoology,1870-1942,5
Telegraph,1875-1944,2
Celluloid,1880-1946,3
Phylogenetic,1883-1911,1
Sandpaper,1916-1984,8
Unbreakable,1928-1974,2
Modernist,1884-1942,1
Aeroplane,1892-1932,2
Dirigible,1902-1946,2
Wartime,1917-1950,2
Bakelite,1918-1956,1
Quick Acting,1918-1938,7
Salesmen,1920-1928,3
Whittle,1924-1964,3
Innovation,1930,7
Flight across the Atlantic,1935,6
Jet engine-air travel,1939,7
Radar, jet engines,1942,8
Atomic energy,1945,9
The atomic bomb,1946,10
Post-war technological advancements,1947,8
The emergence of television,1950,9
Launch of Sputnik,1957,8
Human spaceflight,1961,9
Science and technology,1969,9
Pollution and conservation,1970,7
Computing technology,1975,9
Biotechnology and genetic engineering,1980,8
Computing Technology,1980-1990,7
Genetic Engineering,1985-1995,5
Digital Communication,1990-2000,8
Environmental Awareness,1995-2000,6
Internet and Global Networks,1990-2000,9

